"occurrence_no","name","diet","type","length_m","max_ma","min_ma","region","lng","lat","class","family"
472460,"Caenagnathus",null,null,null,83.5,70.6,"Alberta",-111.514618,50.739815,"Saurischia","Caenagnathidae"
472461,"Chirostenotes","omnivorous","small theropod",1.7,83.5,70.6,"Alberta",-111.491814,50.737179,"Saurischia","Caenagnathidae"
472462,"Leptorhynchos",null,null,null,83.5,70.6,"Alberta",-111.488899,50.742401,"Saurischia","Caenagnathidae"
472467,"Leptorhynchos",null,null,null,83.5,70.6,"Alberta",-111.693703,50.131302,"Saurischia","Caenagnathidae"
472469,"Caenagnathus",null,null,null,83.5,70.6,"Alberta",-110.017197,50.757,"Saurischia","Caenagnathidae"
472491,"Caenagnathasia",null,null,null,93.5,89.3,"Navoi",62.655315,42.117294,"Saurischia","Caenagnathidae"
472566,"Saurornithoides","carnivorous","small theropod",3,83.6,72.1,"Nei Mongol",106.741631,41.762276,"Saurischia","Troodontidae"
472683,"Alamosaurus","herbivorous","sauropod",21,70.6,66,"New Mexico",-108.0485,36.3148,"Saurischia","Saltasauridae"
472698,"Alamosaurus","herbivorous","sauropod",21,70.6,66,"New Mexico",-108.030701,36.3148,"Saurischia","Saltasauridae"
472701,"Struthiomimus","omnivorous","small theropod",4,83.5,70.6,"New Mexico",-107.923599,36.1548,"Saurischia",null
472831,"Struthiomimus","omnivorous","small theropod",4,83.5,70.6,"New Mexico",-108.102097,36.285702,"Saurischia",null
472832,"Alamosaurus","herbivorous","sauropod",21,70.6,66,"New Mexico",-108.102097,36.343899,"Saurischia","Saltasauridae"
472834,"Ornithomimus","omnivorous","large theropod",4,83.5,70.6,"New Mexico",-108.244797,36.271099,"Saurischia","Ornithomimidae"
472835,"Struthiomimus","omnivorous","small theropod",4,83.5,70.6,"New Mexico",-108.191299,36.300201,"Saurischia",null
474090,"Massospondylus","omnivorous","sauropod",4,201.3,190.8,"Eastern Cape",27.433332,-30.566668,"Saurischia","Massospondylidae"
474091,"Massospondylus","omnivorous","sauropod",4,201.3,190.8,"Free State",27.450001,-29.5,"Saurischia","Massospondylidae"
474116,"Herrerasaurus","carnivorous","small theropod",3,237,228,"San Juan",-67.877777,-30.136944,"Saurischia","Herrerasauridae"
474519,"Camarasaurus","herbivorous","sauropod",23,157.3,152.1,"Wyoming",-106.291,41.967098,"Saurischia",null
474520,"Diplodocus","herbivorous","sauropod",26,157.3,152.1,"Wyoming",-106.291,41.967098,"Saurischia","Diplodocidae"
474559,"Euhelopus","herbivorous","sauropod",10,152.1,113,"Shandong",117.949997,35.866669,"Saurischia",null
474577,"Omeisaurus","herbivorous","sauropod",20,174.1,163.5,"Sichuan",104.366699,29.48333,"Saurischia",null
474578,"Omeisaurus","herbivorous","sauropod",20,174.1,163.5,"Sichuan",104.408096,29.5152,"Saurischia",null
474628,"Omeisaurus","herbivorous","sauropod",20,152.1,145,"Sichuan",105.805908,32.403481,"Saurischia",null
474631,"Omeisaurus","herbivorous","sauropod",20,152.1,145,"Sichuan",105.80497,32.46558,"Saurischia",null
